customer_query,intent,dispute_category
Can you tell me the balance of my account?,standard,
The billing from Craig and Sons doesn't match what I expected,dispute,Billing Issue
Where can I find my recent transactions?,standard,
I want to update my phone number on file,standard,
Still waiting for a refund after returning my item to Blevins-Mahoney,dispute,Refund Not Processed
"I was overcharged by Franklin, Stevenson and Lam",dispute,Billing Issue
"I withdrew $100 at Austin, Shepherd and Cunningham ATM but only got $60",dispute,ATM/Withdrawal Error
ATM at Alvarado Inc didn't dispense cash but deducted from my account,dispute,ATM/Withdrawal Error
Can I increase my credit limit?,standard,
How do I reset my online banking password?,standard,
"Still waiting for a refund after returning my item to Brown, Savage and Chaney",dispute,Refund Not Processed
Can you tell me the balance of my account?,standard,
The billing from Saunders Inc doesn't match what I expected,dispute,Billing Issue
I returned the product to Bradley and Sons but wasn’t refunded,dispute,Cancelled Transaction Still Charged
Duplicate charge on my card from Nolan LLC,dispute,Duplicate Transaction
I paid for something from Johnson Group and it never arrived,dispute,Product/Service Not Received
Still waiting for a refund after returning my item to Taylor and Sons,dispute,Refund Not Processed
I cancelled my subscription to Thompson Group but still got charged,dispute,Billing Issue
My Blevins-Mahoney subscription renewed without my consent,dispute,Subscription/Auto-Renewal Issue
I cancelled my subscription to Massey-Miller but still got charged,dispute,Billing Issue
I was charged twice by Hays LLC for the same thing,dispute,Duplicate Transaction
The item I got from Nolan LLC is not what was advertised,dispute,Product/Service Not as Described
Can you tell me the balance of my account?,standard,
"I returned the product to Manning, David and Gomez but wasn’t refunded",dispute,Cancelled Transaction Still Charged
"The item I got from Gonzalez, Wilcox and Miller is not what was advertised",dispute,Product/Service Not as Described
"Duplicate charge on my card from Anderson, Smith and Hall",dispute,Duplicate Transaction
I paid for something from Saunders Inc and it never arrived,dispute,Product/Service Not Received
I don’t recognize this charge from White-Krueger,dispute,Fraud
"I returned the product to Jackson, Dunn and Gill but wasn’t refunded",dispute,Cancelled Transaction Still Charged
Can I increase my credit limit?,standard,
I want to update my phone number on file,standard,
"What I received from Jackson, Dunn and Gill is different from what I ordered",dispute,Product/Service Not as Described
What are the charges for international transfers?,standard,
"Duplicate charge on my card from Fox, Hill and Marquez",dispute,Duplicate Transaction
Still waiting for a refund after returning my item to Zhang-Hernandez,dispute,Refund Not Processed
I was charged twice by Saunders Inc for the same thing,dispute,Duplicate Transaction
"Duplicate charge on my card from Price, Martinez and Sanchez",dispute,Duplicate Transaction
I want to update my phone number on file,standard,
How can I apply for a credit card?,standard,
What are the charges for international transfers?,standard,
What is the interest rate on my savings account?,standard,
What is the interest rate on my savings account?,standard,
I withdrew $100 at Howell-Miller ATM but only got $60,dispute,ATM/Withdrawal Error
"I was overcharged by Avila, Singleton and Keller",dispute,Billing Issue
What are the charges for international transfers?,standard,
"I was promised a refund from Jackson, Dunn and Gill but haven’t received it",dispute,Refund Not Processed
I was promised a refund from Savage Group but haven’t received it,dispute,Refund Not Processed
"I cancelled my subscription to Manning, David and Gomez but still got charged",dispute,Billing Issue
"I cancelled my order with Gonzalez, Wilcox and Miller but was still charged",dispute,Cancelled Transaction Still Charged
Can you tell me the balance of my account?,standard,
I forgot to cancel Brown-Glass and got charged again,dispute,Subscription/Auto-Renewal Issue
