customer_query,intent,dispute_category
"Still waiting for a refund after returning my item to Maxwell, Conway and Wood",dispute,Refund Not Processed
I cancelled my subscription to Hayes-Clark but still got charged,dispute,Billing Issue
"I don’t recognize this charge from Cook, Nguyen and Butler",dispute,Fraud
"I returned the product to Price, Martinez and Sanchez but wasn’t refunded",dispute,Cancelled Transaction Still Charged
"The item I got from Shaw, Todd and Bell is not what was advertised",dispute,Product/Service Not as Described
"ATM at Manning, David and Gomez didn't dispense cash but deducted from my account",dispute,ATM/Withdrawal Error
"The billing from Maxwell, Conway and Wood doesn't match what I expected",dispute,Billing Issue
What I received from Hays LLC is different from what I ordered,dispute,Product/Service Not as Described
I withdrew $100 at Saunders Inc ATM but only got $60,dispute,ATM/Withdrawal Error
"I withdrew $100 at Shaw, Todd and Bell ATM but only got $60",dispute,ATM/Withdrawal Error
"What I received from Franklin, Stevenson and Lam is different from what I ordered",dispute,Product/Service Not as Described
"I cancelled my subscription to Tucker, Crawford and Carr but still got charged",dispute,Billing Issue
I cancelled my order with Johnson-Jimenez but was still charged,dispute,Cancelled Transaction Still Charged
I returned the product to Howell-Miller but wasn’t refunded,dispute,Cancelled Transaction Still Charged
"I cancelled my order with Fox, Hill and Marquez but was still charged",dispute,Cancelled Transaction Still Charged
I was overcharged by Mitchell LLC,dispute,Billing Issue
"I forgot to cancel Manning, David and Gomez and got charged again",dispute,Subscription/Auto-Renewal Issue
"I don’t recognize this charge from Manning, David and Gomez",dispute,Fraud
"I returned the product to Tucker, Crawford and Carr but wasn’t refunded",dispute,Cancelled Transaction Still Charged
Still waiting for a refund after returning my item to Brown-Glass,dispute,Refund Not Processed
I was promised a refund from White-Jones but haven’t received it,dispute,Refund Not Processed
This transaction from Montoya-Blevins is fraudulent,dispute,Fraud
I don’t recognize this charge from Brown-Glass,dispute,Fraud
ATM at Savage Group didn't dispense cash but deducted from my account,dispute,ATM/Withdrawal Error
"I was promised a refund from Brown, Savage and Chaney but haven’t received it",dispute,Refund Not Processed
"My Avila, Singleton and Keller subscription renewed without my consent",dispute,Subscription/Auto-Renewal Issue
I forgot to cancel Winters-West and got charged again,dispute,Subscription/Auto-Renewal Issue
